timestamp,instrument,epic,direction,size,open_level,current_price,profit_loss,currency,deal_id
2026-05-10 01:44:53.977147,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80819.5,-21055.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:45:04.550674,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80814.5,-21005.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:45:15.271717,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80813.5,-20995.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:45:25.942724,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80813.5,-20995.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:45:36.557606,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80809.5,-20955.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:45:47.105116,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80809.5,-20955.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:45:57.652073,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80807.5,-20935.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:46:08.256029,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80807.5,-20935.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:46:18.804640,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80818.5,-21045.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:46:29.363231,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80824.5,-21105.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:46:39.922602,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80824.5,-21105.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:46:50.490212,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80819.5,-21055.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:47:01.050304,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80823.5,-21095.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:47:11.927293,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80823.5,-21095.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:47:22.582565,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80823.5,-21095.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:47:33.128714,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80823.5,-21095.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:47:43.672389,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80823.5,-21095.0,USD,DIAAAAXC5UQ2UAQ
2026-05-10 01:47:54.228268,Bitcoin ($0.1),CS.D.BITCOIN.CFBMU.IP,SELL,10.0,78714.0,80823.5,-21095.0,USD,DIAAAAXC5UQ2UAQ
